shootStartTime,playerMovementBool,playerReactionTime,bulletHitTime,bulletHitPlayerCheck,shootEndTime,spawnerIndex,shootMode,shieldActive,session_type,user_id
655.46405,True,2.63391113,657.2662,True,661.2681,6,True,True,estereo,7919CMA-1
668.873657,True,2.03497314,670.7071,True,673.381042,5,True,True,estereo,7919CMA-1
682.3274,False,4.06469727,0.0,False,686.3921,4,False,True,estereo,7919CMA-1
689.328,True,2.57348633,691.1656,True,695.1379,2,True,True,estereo,7919CMA-1
702.7848,True,1.76483154,0.0,False,707.2843,1,True,True,estereo,7919CMA-1
714.63324,False,4.70422363,0.0,False,719.337463,3,False,True,estereo,7919CMA-1
721.635864,True,3.37097168,723.472839,True,727.443,8,True,True,estereo,7919CMA-1
735.0943,False,5.83270264,736.9258,True,740.927,4,True,True,estereo,7919CMA-1
745.5426,True,2.428894,747.371155,True,750.040833,5,True,True,estereo,7919CMA-1
758.985962,False,5.812744,760.825562,True,764.7987,6,True,True,estereo,7919CMA-1
769.4396,False,4.07189941,0.0,False,773.5115,2,False,True,estereo,7919CMA-1
776.4561,True,2.8349,778.2935,True,781.165161,7,True,True,estereo,7919CMA-1
789.9132,False,5.79986572,791.7455,True,795.7131,8,True,True,estereo,7919CMA-1
800.36,True,0.59173584,0.0,False,804.862366,1,True,True,estereo,7919CMA-1
810.998535,True,2.41107178,812.8347,True,815.7087,3,True,True,estereo,7919CMA-1
833.6039,True,2.3972168,835.4311,True,838.302856,7,True,True,estereo,7919CMA-1
847.0533,True,2.55664063,848.8782,True,852.854065,6,True,True,estereo,7919CMA-1
860.499634,True,2.30072021,862.328369,True,866.3039,4,True,True,estereo,7919CMA-1
873.9518,True,2.196106,875.786743,True,879.7527,8,True,True,estereo,7919CMA-1
887.4048,False,4.50054932,0.0,False,891.905334,5,False,True,estereo,7919CMA-1
894.410339,True,2.80542,896.2226,True,900.2184,6,True,True,estereo,7919CMA-1
907.835754,True,2.605774,909.6735,True,912.542664,7,True,True,estereo,7919CMA-1
923.2858,True,0.336486816,0.0,False,929.0969,2,True,True,estereo,7919CMA-1
933.7152,True,1.7331543,0.0,False,938.2182,1,True,True,estereo,7919CMA-1
